Name;Adresse;Telefon;EMail;Website;Latitude;Longitude;Hinweis
KWM Fohnsdorf Versorgungsbetriebe GmbH;Hauptplatz 3, 8753 Fohnsdorf;+43 3573 2431 177;bettina.ruttnig@fohnsdorf.gv.at;fohnsdorf.at/KWM;47,2087319;14,6775831;
Leibnitzerfeld Wasserversorgung GmbH;Wasserwerkstrasse 33, 8430 Leibnitz;+43 34 52 825 22 131;buero@leibnitzerfeld.at;leibnitzerfeld.at;46,7904009;15,5493651;
LINZ SERVICE GmbH;Wiener Straße 151, 4021 Linz;+43 7323 400 6400;wasser@linzag.at;linzag.at/wasser;48,2807424;14,310381;
Magistrat der Stadt Krems Wasserwerk;Bertschingerstraße 13, 3500 Krems;+43 2732 801 801;wasserwerk@krems.gv.at;krems.at/wasserwerk;48,4067361;15,6079794;
Marktgemeinde Birkfeld;Hauptplatz 13, 8190 Birkfeld;+43 3174 4507;wasser@birkfeld.at;birkfeld.at;47,3549865;15,6944809;
Marktgemeinde Götzis Wasserversorgung;Bahnhofstraße 15, 6840 Götzis;+43 5523 5986;wasserversorgung@goetzis.at;goetzis.at;47,3351397;9,6438085;
Marktgemeinde Kremsmünster;Keplerstraße 1, 4550 Kremsmünster;+43 7583 5255 221;gemeinde@kremsmuenster.at;kremsmuenster.at;48,0536551;14,134411;
Marktgemeinde Laßnitzhöhe;Hauptstraße 23, 8301 Laßnitzhöhe;+43 3133 2237;gde@lassnitzhoehe.gv.at;lassnitzhoehe.gv.at;47,0769058;15,583236;
Marktgemeinde Lauterach Wasserwerk;Hofsteigstraße 2a, 6923 Lauterach;+43 5574 6802;marktgemeinde@lauterach.at;lauterach.at/wasserwerk;47,4749803;9,7306117;
Marktgemeinde Lebring – St. Margarethen;Grazerstraße 1, 8403 Lebring;+43 664 8570 450;wasserwerk@lebring-st-margarethen.gv.at;lebring-st-margarethen.gv.at;46,8575175;15,5355786;
Marktgemeinde Lustenau Wasserwerk;Augartenstraße 5a, 6890 Lustenau;+43 5577 8181 5800;wasserwerk@lustenau.at;lustenau.at/wasserwerk;47,4385071;9,6477212;
Marktgemeinde Öblarn;8960 Öblarn 47;+43 3684 6029;otmar.thaller@oeblarn.gv.at;öblarn.at/wasserversorgung;47,4604674;13,9932554;
Marktgemeinde Ottensheim;Marktplatz 7, 4100 Ottensheim;+43 7234 822 55;gemeinde@ottensheim.ooe.gv.at;ottensheim.ooe.gv.at;48,331518;14,1765501;
Marktgemeinde Paternion;Hauptstraße 83, 9711 Paternion;+43 4245 2888 23;paternion.wasserwerk@ktn.gde.at;paternion.gv.at/wasser;46,7105452;13,6413881;
Marktgemeinde Preding;Grazer Straße 11, 8504 Preding;+43 3185 2222 0;gde@preding.eu;preding.eu;46,8597419;15,4065601;
Marktgemeinde St. Ruprecht an der Raab;Untere Hauptstraße 27, 8181 St. Ruprecht an der Raab;+43 3178 2218;gemeinde@st.ruprecht.at;st.ruprecht.at;47,1528176;15,6624918;
Marktgemeinde St. Veit an der Gölsen Wasserversorgung;Kirchenplatz 1, 3161 St. Veit/Gölsen;+43 2763 2212 00;gemeindeamt@st-veit-goelsen.gv.at;st-veit-goelsen.gv.at/Wasserversorgung;48,0434843;15,6693501;
Marktgemeinde Theresienfeld Wasserversorgung;Hauptplatz 1, 2604 Theresienfeld;+43 2622 71210 15;gemeinde@theresienfeld.gv.at;theresienfeld.gv.at/Wasserversorgung;47,861036;16,2482948;
Marktgemeinde Treffen am Ossiacher See Wasserwerk;Marktplatz 2, 9521 Treffen am Ossiacher See;+43 4248 2805;treffen@ktn.gde.at;treffen.at/wasserwerk;46,667885;13,8560192;
Marktgemeinde Velden am Wörthersee Wasserwerk Velden – Schiefling;Seecorso 2, 9220 Velden am Wörthersee;+43 4274 2102;velden.wasser@ktn.gde.at;velden.gv.at;46,6131963;14,0417923;
Marktgemeinde Weikendorf;Rathausplatz 1, 2253 Weikendorf;+43 699 1271 7873;c.kaiser@gdeweikendorf.at;gdeweikendorf.at;48,3445394;16,76675;
Marktgemeinde Wilhering;Linzer Straße 10, 4073 Wilhering;+43 7226 2255;gemeinde@wilhering.at;wilhering.at;48,3245912;14,1871682;
Marktgemeinde Wolfurt Wasserwerk;Schulstraße 1, 6922 Wolfurt;+43 69916840023;wasserwerk@wolfurt.info;wolfurt.at/Wasserwerk;47,4668336;9,7503706;
Marktgemeinde Wöllersdorf-Steinabrückl;Marktzentrum 1, 2752 Wöllersdorf;+43 2633 43000 116;besunk@woellersdorf-steinabrueckl.gv.at;woellersdorf-steinabrueckl.at;47,8653966;16,1694731;
Rehabilitationszentrum Hochegg (Quelle zur Eigenversorgung);Friedrich-Hillegeist Strasse 2, 2840 Grimmenstein;+43 2644 6010 0;ska-rz.hochegg@pv.at;rz-hochegg.at;47,6154006;16,0985488;
Salzburg AG;Bayerhamerstraße 16, 5020, Salzburg;+43 800 660 660;kundenservice@salzburg-ag.at;salzburg-ag.at/trinkwasser;47,8115213;13,051241;
Stadt Bludenz Wasserwerk;Werdenbergerstrasse 42, 6700 Bludenz;+43 05552 63621 850;christian.erhard@bludenz.at;bludenz.at/wasserwerk;47,1570889;9,818066;
Stadt Hohenems Stadtwerke;Kernstockstraße 12a, 6845 Hohenems;+43 5576 7101-1451;stadtwerke@hohenems.at;hohenems.at;47,3623369;9,6790147;
Stadt Wien – Wiener Wasser MA 31;Grabnergasse 4-6, 1060 Wien;+43 1 599 59;post@ma31.wien.gv.at;wien.gv.at;48,191351;16,3497805;
Stadtbetriebe Steyr GmbH;Ennser Straße 10, 4400 Steyr;+43 7252 8990;wasser@stadtbetriebe.at;stadtbetriebe.at/Wasser;48,0533609;14,4212379;
Stadtgemeinde Bad Ischl Wasserwerk;Pfarrgasse 11, 4820 Bad Ischl;+43 6132 301 1728;mzeppezauer@stadtamt-badischl.at;bad-ischl.ooe.gv.at/Wirtschaftshof;47,7109104;13,6218962;
Stadtgemeinde Bad Radkersburg Wasserwerk;Hauptplatz 1, 8490 Bad Radkersburg;+43 3476 2509;wasserwerk@bad-radkersburg.gv.at;bad-radkersburg.gv.at/wasserwerk;46,6877613;15,9864632;
Stadtgemeinde Feldbach;Rathausplatz 1, 8330 Feldbach;+43 03152 3564;wasserwerk@feldbach.gv.at;feldbach.gv.at/staedtisches-wasserwerk;46,9167;15,8333;
Stadtgemeinde Freistadt;Hauptplatz 1, 4240 Freistadt;+43 7942 7250 672;wasser@freistadt.ooe.gv.at;freistadt.at;48,511287;14,5046764;
Stadtgemeinde Haag;Hauptplatz 4, 3350 Haag;+43 7434 42423;stadtamt@haag.gv.at;haag.gv.at/Trinkwasser;48,111922;14,5655237;
Stadtgemeinde Kindberg Wasserversorgung;Hauptstraße 44, 8650 Kindberg;+43 3865 2202 312;wirtschaftshof@kindberg.at;kindberg.at/wasserversorgung;47,5052039;15,448363;
Stadtgemeinde Klosterneuburg Wasserversorgung;Albrechtstraße 78, 3400 Klosterneuburg;+43 2243 444 263;wasser@klosterneuburg.at;klosterneuburg.at;48,3134388;16,3178824;
Stadtgemeinde Langenlois Wasserwerk;Rathausstraße 2, 3550 Langenlois;+43 664 205 9021;wasserwerk@langenlois.gv.at;langenlois.gv.at/Wasserwerk;48,4723575;15,6767811;
Stadtgemeinde Mistelbach Wasserwerk;Hauptplatz 6, 2130 Mistelbach;+43 2572 2515 7810;wasserwerk@mistelbach.at;mistelbach.at/wasserwerk;48,5706478;16,5723987;
Stadtgemeinde Mödling Wasserwerk;Quellenstraße 15, 2340 Mödling;+43 2236 24233;wasserwerk@moedling.at;moedling.at/Wasserwerk;48,0742322;16,2863446;
Stadtgemeinde Mürzzuschlag Wasserversorgung;Wiener Straße 9, 8680 Mürzzuschlag;+43 664 8896 4051;stadtamt@mzz.at;muerzzuschlag.at/wasserversorgung;47,6059819;15,672774;
Stadtgemeinde Neulengbach;Kirchenplatz 2, 3040 Neulengbach;+43 2772 52105;buergerservice@neulengbach.gv.at;neulengbach.gv.at;48,200392;15,9093953;
Stadtgemeinde Oberndorf bei Salzburg;Färberstraße 4, 5110 Oberndorf;+43 6272 4225;stadtgemeinde@oberndorf.salzburg.at;oberndorf.salzburg.at;47,9407634;12,9417231;
Stadtgemeinde Saalfelden Wasserwerk;Rathausplatz 1, 5760 Saalfelden;+43 6582 72100;wasserwerk@saalfelden.at;saalfelden.at/Wasserwerk;47,4267469;12,8483922;
Stadtgemeinde Scheibbs Wasserversorgung;Rathausplatz 1, 3270 Scheibbs;;stadtamt@scheibbs.gv.at;scheibbs.gv.at/Wasserversorgung;48,0056102;15,1675727;
Stadtgemeinde Schladming;Coburgstrasse 45, 8970 Schladming;+43 3687 22508;wasser@schladming.at;schladming.at;47,3927585;13,6905261;
Stadtgemeinde Schwanenstadt Wasserversorgung;Stadtplatz 54, 4690 Schwanenstadt;+43 7673 2255 0;stadtamt@schwanenstadt.ooe.gv.at;schwanenstadt.at;48,0544876;13,7740344;
Stadtgemeinde St. Veit an der Glan Wasserwerk;Handelsstraße 21, 9300 St. Veit an der Glan;+43 4212 5555 804;erich.schoeffmann@stveit.com;sv.or.at/wasserwerk;46,7573038;14,3540156;
Stadtgemeinde Vöcklabruck Wasserversorgung;Klosterstraße 9, 4840 Vöcklabruck;+43 7672 7600;stadtamt@voecklabruck.at;voecklabruck.at/Wasserversorgung;48,0062569;13,6512852;
Stadtgemeinde Völkermarkt;Hauptplatz 1, 9100 Völkermarkt;+43 4232 2571;voelkermarkt@ktn.gde.at;voelkermarkt.gv.at/gemeindebetriebe;46,6605417;14,6340343;
Stadtgemeinde Weiz;Hauptplatz 7, 8160 Weiz;+43 3172 2319 460;wasser@weiz.at;weiz.at;47,2175164;15,621485;
Stadtgemeinde Zwettl Wasserwerk;Gartenstrasse 3, 3910 Zwettl;+43 2822 5030;stadtamt@zwettl.gv.at;zwettl.gv.at/Wasserwerk;48,6034608;15,1691074;
Städtisches Wasserwerk Gmünd;Schremser Straße 6, 3950 Gmünd;+43 2852 52 632;wassersorgung@gmuend.at;gmuend.at;48,7716142;14,9860343;
Städtisches Wasserwerk Gmünd;Weitraer Straße 106, 3950 Gmünd;+43 2852 52632;thomas.gallistl@gmuend.at;gmuend.at/Wasserwerk;48,7693611;14,9814785;
Stadtwerke Amstetten GmbH Wasserwerk;Stadtwerkestraße 2, 3300 Amstetten;+43 7472 609750;w.hackl@stadtwerke.amstetten.at;stadtwerke.amstetten.at/wasser;48,111736;14,8660601;
Stadtwerke Bregenz GmbH;Reutegasse 33, 6900 Bregenz;+43 5574 74100;info@stadtwerke-bregenz.at;stadtwerke-bregenz.at;47,4996927;9,7231985;
Stadtwerke Judenburg AG;Burggasse 15, 8750 Judenburg;+43 3572 83146;office@stadtwerke.co.a;stadtwerke.co.at/wasser;47,1678899;14,6589673;
Stadtwerke Kapfenberg GmbH Wasser;Stadtwerkestraße 6, 8605 Kapfenberg;+43 3862 23516 2601;wasser@stadtwerke-kapfenberg.at;stadtwerke-kapfenberg.at/wasser;47,4477012;15,3017039;
Stadtwerke Klagenfurt AG;St. Veiter Straße 31, 9020 Klagenfurt;+43 4635 21880;servicecenter@stw.at;stw.at/wasser;46,6297229;14,3095315;
Stadtwerke Köflach Wasserwerk;Stadtwerkgasse 2, 8580 Köflach;+43 3144 34700;wasserwerk@stadtwerke-koeflach.at;stadtwerke-koeflach.at/wasserwerk;47,0608607;15,0782041;
Stadtwerke Leoben Wasserversorgung;Kerpelystrasse 23, 8700 Leoben;+43 676 882 30316;wasserwerk@stadtwerke-leoben.at;stadtwerke-leoben.at/wasserversorgung;47,3764091;15,0684844;
Stadtwerke Lienz;Fanny Wibmer Pedit Straße 6, 9900 Lienz;+43 4852 62777;office@stadtwerke-lienz.at;lienz.gv.at/wasser;46,8311652;12,7727756;
Stadtwerke Wörgl GmbH;Zauberwinklweg 2a, 6300 Wörgl;+43 50 6300 30;stadtwerke@woergl.at;stww.at/woergler-wasserqualitaet/;47,4796865;12,054668;
Wassergenossenachaft St. Peter am Wimberg;Wiesenweg 3, 4171 Sankt Peter am Wimberg;+43 650 83 00 870;wg-st.peter@aon.at;st-peter-wimberg.ooe.gv.at;48,5024205;14,0733843;
Wassergenossenschaft Bad Goisern;Schrempfgasse 8, 4822 Bad Goisern;+43 664 4406 111;office@wgg.at;wgg.at;47,6371814;13,6171459;
Wassergenossenschaft Litzelsdorf;Marktplatz 1, A-7532 Litzelsdorf;+43 3358 2234;post@litzelsdorf.bgld.gv.at;litzelsdorf.at/wasser-genossenschaft;47,2;16,15;
Wasserleitungsverband der Triestingtal- und Südbahngemeinden;Badnerstraße 88, 2540 Bad Vöslau;+43 02252 76273;wlv@wlv-voeslau.at;wlv-voeslau.at;47,975816;16,2176971;
Wasserleitungsverband Nördliches Burgenland;Ruster Straße 74, 7000 Eisenstadt;+43 2682 6090;kunden@wasserleitungsverband.at;wasserleitungsverband.at;47,835907;16,52642;
Wasserverband Eferding und Umgebung;Josef-MItter-Platz 2, 4070 Eferding;+43 7272 5005;office@wasserverband-eferding.at;wasserverband-eferding.at;48,3085361;14,0198942;
Wasserverband Eibiswald-Wies;8552 Eibiswald 390;+43 3466 42920;office@wasserverband.com;wasserverband.com;46,6915019;15,2506052;
Wasserverband Feistritztal;8222 St. Johann bei Herberstein 160;+43 664 4314 731;office@wasserverband-feistritztal.at;wasserverband-feistritztal.at;47,2143937;15,8180443;
Wasserverband Fernwasserversorgung Mühlviertel;Eckartsbrunn 27, 4202 Hellmonsödt;+43 07215 2242 0;office@fernwasser-muehlviertel.at;fernwasser-muehlviertel.at;48,4364504;14,3118166;
Wasserverband Grazerfeld Südost;St. Peter Straße 52, 8071 Hausmannstätten;+43 3135 46260;office@wasserverband.at;wasserverband.at;46,9986431;15,5066009;
Wasserverband Grieskirchen und Umgebung;Stadtplatz 9, 4710 Grieskirchen;+43 7248 62255 0;office@wvgrieskirchen.at;wvgrieskirchen.at;48,2350641;13,8299101;
Wasserverband Großraum Ansfelden;Anton-Bruckner-Straße 12, 4052 Ansfelden;+43 7229 88 391;office@wvb.at;wvb.at;48,2112752;14,2881772;
Wasserverband Kurbezirk Bad Hall;Rohrerstraße 6, 4540 Bad Hall;+4372584594;office@wavbadhall.at;wavbadhall.at;48,0490842;14,205276;
Wasserverband Leibnitzerfeld Süd;Murweg 10, 8472 Straß in Steiermark;+4334533399;wasser@lfsued.at;lfsued.at/wasserverband;46,7178642;15,6244118;
Wasserverband Mittleres Burgenland;Wasserwerk 1, 7321 Lackendorf;+43261967400;info@wvmb.at;wvmb.at;47,5775311;16,52113;
Wasserverband Salzburger Becken;Aupoint 15, 5101 Bergheim bei Salzburg;+43 662 46949-0;rhv@rhv-sab.at;umweltschutzanlagen.at;47,79941;13,04399;Nur Ortsmittelpunkt bestimmt
Wasserverband Schöckl Alpenquell;Kirchplatz 3, 8044 Weinitzen;+43313221180;wvschoeckl@aon.at;kumberg.gv.at;47,1401405;15,4900116;
Wasserverband Stainztal;Marktplatz 3, 8522 Groß St. Florian;+4334642468;office@wv-stainztal.at;wv-stainztal.at;46,8236407;15,316372;
Wasserverband Steinberg;Peter-Rosegger-Siedlung 7, 8151 Hitzendorf;+43316586900;office@wv-steinberg.at;wv-steinberg.at;47,065618;15,3123377;
Wasserverband Südliches Burgenland;Beim Wasserwerk 3, 7400 Oberwart;+43 3352 31274-0;office@wvsb.at;wvsb.at;47,2780571;16,2070649;
Wasserverband Umland Graz;St. Peter Straße 52, 8071 Hausmannstätten;+43313546260;office@wasserverband.at;wasserverband.at;46,9986431;15,5066009;
Wasserverband Wagram;Mühlplatz 1, 3484 Grafenwörth;+4327382212;gemeinde@grafenwoerth.gv.at;grafenwoerth.at;48,4071479;15,7760715;
Wasserverband Wasserversorgung Vulkanland;Bahnhofstraße 20b, 8350 Fehring;+4331555104;office@wasserversorgung.at;wasserversorgung.at;46,9415876;16,0120455;
Wasserversorgung Gmunden;Rathausplatz 1, 4810 Gmunden;+437612794315;wasserversorgung@gmunden.ooe.gv.at;gmunden.at;47,9179589;13,7994673;
Wasserversorgungsanlage Sölden;Gemeindestraße 1, 6450 Sölden;+4366488636969;wasser@soelden.gv.at;soelden.gv.at;46,9696353;11,0097972;
Wasserwerk der Gemeinde Seiersberg-Pirka;Hauptplatz 1, 8054 Seiersberg-Pirka;+43 316 282 111 0;gde@seiersberg-pirka.gv.at;gemeindekurier.at/wasserwerk;47,0111126;15,4036238;
Wasserwerk der Stadt Dornbirn;Quellengasse 16, 6850 Dornbirn;+4355723067870;wasserwerk@dornbirn.at;dornbirn.at/wasser;47,4217202;9,7453403;
Wasserwerk Ferlach;Kirchgasse 5, 9170 Ferlach;+43 664 126 72 21;ferlach.wasserwerk@ktn.gde.at;ferlach.at/wasserwerk;46,5266731;14,3013681;
Wasserwerk Stadt Liezen;Selzthaler Straße 18, 8940 Liezen;+43361222881233;wasser.bauhof@liezen.at;liezen.at/wasserversorgung;47,5579279;14,2448922;
Wasserwerk Stadtgemeinde Baden;Haidhofstraße 23-25, 2500 Baden bei Wien;+43225286800320;wasserwirtschaft@baden.gv.at;baden.at/Unsere_Stadt/Umwelt/Wasserwerk;47,9973133;16,2528613;
Wasserwerk Traun;Linzerstraße 76, 4050 Traun;+436642612788;wasserwerk@traun.at;traun.at/Wasserwerk;48,227283;14,2349642;
Wasserwerk Tulln;Minoritenplatz 1, 3430 Tulln;+4322726900;stadtamt@tulln.gv.at;tulln.at/wasserwerke;48,3325818;16,0496372;
Wasserwerk Villach;Klagenfurter Straße 66, 9500 Villach;+4342422056100;wasserwerk@villach.at;villach.at/wasser;46,6188693;13,8579602;
WDL-Wasserdienstleistungs-GmbH;Böhmerwaldstraße 3, 4020 Linz;+4373290008000;office@wdl.at;energieag.at/wdl;48,2930858;14,2915318;
Wiener Neustädter Stadtwerke und Kommunal Service GmbH;Ungargasse 25, 2700 Wiener Neustadt;+432622373550;wasserwerk@wnsks.at;wiener-neustadt.at/wasserwerk;47,8128036;16,2489403;
WV Hölln;Rathausplatz 1, 5500 Bischofshofen;+4366460128345;wasserwerk@bischofshofen.sbg.at;bischofshofen.at;47,4;13,2167;
WVA Alland;Hauptstraße 176, 2534 Alland;+43 2258 2245;wva@alland.gv.at;alland.at/wasserversorgung;48,0575159;16,0782932;
WVA Wartmannstetten & WVA Gramatl;Marktplatz 1, 2620 Wartmannstetten;+43263565124;marktgemeinde@wartmannstetten.gv.at;wartmannstetten.gv.at/Bauhof;47,6926742;16,0749647;
Zentral-Wasserversorgung Hochschwab Süd GesmbH;St. Ilgen Nr. 107, 8621 Thörl;+4338618338;office@zwhs.at;zwhs.at;47,5333;15,2333;
